Ranking      Song Name                             Artists                                 Streams                         
112          "Investe Em Mim"                          "Jonas Esticado"                   933570                             
113          "Elegí (feat. Dímelo Flow)"               "Rauw Alejandro"                   926784                             
114          "Parce (feat. Justin Quiles)"             Maluma                             917120                             
115          "If the World Was Ending - feat. Julia Michaels""JP Saxe"                          913604                             
116          "Tak Tiki Tak"                            "Harry Nach"                       906936                             
117          "Bohemian Rhapsody - 2011 Mix"            Queen                              905985                             
118          "Lets Link"                               WhoHeem                            901863                             
119          "everything i wanted"                     "Billie Eilish"                    896014                             
120          "Blastoff (feat. Juice Wrld & Trippie Redd)""Internet Money"                   885347                             
121          "Fuckst mich nur ab"                      "Bonez MC"                         879772                             
122          Falling                                   "Harry Styles"                     870732                             
123          "I Don't Care (with Justin Bieber)"       "Ed Sheeran"                       870120                             
124          Safaera                                   "Bad Bunny"                        869428                             
125          "After Party"                             "Don Toliver"                      856389                             
126          "feel something"                          "Bea Miller"                       847832                             
127          "CÓMO SE SIENTE - Remix"                  "Jhay Cortez"                      843607                             
128          "Godzilla (feat. Juice WRLD)"             Eminem                             838147                             
129          "Mad at Disney"                           "salem ilese"                      837927                             
130          "rockstar (feat. 21 Savage)"              "Post Malone"                      837191                             
131          "Shape of You"                            "Ed Sheeran"                       836317                             
132          "hot girl bummer"                         blackbear                          832122                             
133          "Play Date"                               "Melanie Martinez"                 826528                             
134          "Desce Pro Play (PA PA PA)"               "Mc Zaac"                          825303                             
135          "Savage Remix (feat. Beyoncé)"            "Megan Thee Stallion"              825053                             
136          Jeans                                     "Justin Quiles"                    824698                             
137          Madrid                                    Maluma                             821018                             
138          "7 rings"                                 "Ariana Grande"                    818669                             
139          "All Girls Are The Same"                  "Juice WRLD"                       809664                             
140          "Jocelyn Flores"                          XXXTENTACION                       807747                             
141          "WHATS POPPIN"                            "Jack Harlow"                      806130                             
142          Perfect                                   "Ed Sheeran"                       803178                             
143          "Lose Control"                            MEDUZA                             797628                             
144          "exile (feat. Bon Iver)"                  "Taylor Swift"                     796324                             
145          "Chicago Freestyle (feat. Giveon)"        Drake                              793567                             
147          "El Mismo Aire - con Pablo Alborán"       Camilo                             785089                             
148          "Lose Somebody"                           Kygo                               779761                             
149          SAD!                                      XXXTENTACION                       779143                             
150          "Are You Bored Yet? (feat. Clairo)"       Wallows                            777185                             
151          "Money Trees"                             "Kendrick Lamar"                   776488                             
152          "Say You Won't Let Go"                    "James Arthur"                     775435                             
153          "Quiéreme Mientras Se Pueda"              "Manuel Turizo"                    771573                             
154          "Nobody's Love"                           "Maroon 5"                         764740                             
155          Alane                                     "Robin Schulz"                     761952                             
156          "Some Say - Felix Jaehn Remix"            Nea                                761362                             
158          Righteous                                 "Juice WRLD"                       760305                             
159          Jangueo                                   "Alex Rose"                        756501                             
160          "No Guidance (feat. Drake)"               "Chris Brown"                      754974                             
161          "DOLLAZ ON MY HEAD (feat. Young Thug)"    Gunna                              753874                             
162          "Beautiful People (feat. Khalid)"         "Ed Sheeran"                       752292                             
163          Conversations                             "Juice WRLD"                       745988                             
164          ADMV                                      Maluma                             742019                             
165          "RITMO (Bad Boys For Life)"               "Black Eyed Peas"                  741172                             
166          "What's Love Got to Do with It"           Kygo                               739544                             
167          "Jerusalema (feat. Nomcebo Zikode)"       "Master KG"                        739030                             
168          "Don't Stop Me Now - 2011 Mix"            Queen                              736817                             
169          Physical                                  "Dua Lipa"                         736185                             
170          "Not Shy"                                 ITZY                               735131                             
171          "When I Look At You"                      "Miley Cyrus"                      734540                             
172          "Don't Stop Believin'"                    Journey                            730224                             
173          21                                        "Polo G"                           726251                             
174          "La Tóxica"                               Farruko                            724554                             
175          Happier                                   Marshmello                         722876                             
176          "Someone To You"                          BANNERS                            720068                             
177          "Enemigos Ocultos"                        Ozuna                              719479                             
179          "Boss Bitch"                              "Doja Cat"                         715198                             
180          "All of Me"                               "John Legend"                      712991                             
181          "GO (feat. Juice WRLD)"                   "The Kid LAROI"                    712735                             
182          "Something Just Like This"                "The Chainsmokers"                 709424                             
183          Unterwegs                                 KitschKrieg                        705396                             
185          "when the party's over"                   "Billie Eilish"                    701664                             
186          +Linda                                    Dalex                              700153                             
187          "Martin & Gina"                           "Polo G"                           699454                             
189          Despeinada                                Ozuna                              695917                             
190          Anaranjado                                "Jowell & Randy"                   694437                             
191          Reggaetonera                              "Anuel AA"                         692537                             
192          "Mr. Brightside"                          "The Killers"                      688096                             
193          "The Less I Know The Better"              "Tame Impala"                      686979                             
194          "THE BADDEST"                             K/DA                               686690                             
195          Africa                                    TOTO                               683641                             
196          "7 Summers"                               "Morgan Wallen"                    680212                             
197          "Without Me"                              Halsey                             680073                             
198          "Dembow 2020"                             Yandel                             679600                             
199          Moonlight                                 XXXTENTACION                       678867                             
200          "Pa' Olvidarme De Ella"                   "Piso 21"                          676076                             
